"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"14814","lncRNA:CR43765",13,24,27,28,23,111
"14816","asRNA:CR43767",6,6,6,0,1,6
"14817","lncRNA:CR43768",1,0,0,1,0,3
"14818","lncRNA:CR43769",1,0,2,0,0,1
"14819","Sxl",14351,11227,14352,12918,10644,10926
"14821","mwh",54,35,38,94,103,61
"14822","Sema2b",1632,1444,2308,3472,3601,2768
"14823","Det",2177,2077,2600,1472,934,2509
"14824","Cyt-b5",6424,5612,6429,5829,4030,8425
"14825","CG43773",0,0,0,0,0,2
"14826","CG43774",1,1,6,0,2,9
"14833","CG43783",2152,1879,2353,1716,1247,1253
"14834","orb2",3,0,8,4,1,5
"14835","hbt",2165,1370,2221,3471,2712,2659
"14837","lncRNA:CR43785",64,37,44,93,51,66
"14838","spg",2404,2098,2844,6281,5597,4608
"14839","Atg6",1385,1190,1525,1244,893,1149
"14840","PolE1",4749,4255,4983,3005,2168,2200
"14847","lncRNA:CR43794",1,1,1,0,0,1
"14848","CG43795",740,648,1204,1729,1549,1379
"14850","CG43797",0,0,0,0,0,1
"14851","CG43798",0,0,0,1,0,0
"14854","lncRNA:CR43801",2,0,4,5,2,8
"14855","lncRNA:CR43802",0,0,0,1,0,0
"14860","lncRNA:CR43807",1,1,1,1,4,3
"14861","lncRNA:CR43808",0,0,0,1,1,0
"14862","asRNA:CR43809",0,0,0,2,1,0
"14863","SNF4Aγ",7275,5903,7364,4804,3967,3771
"14866","asRNA:CR43812",5,10,12,7,5,4
"14867","CG43813",24,20,44,42,24,61
"14868","CG43814",1,1,1,0,1,1
"14869","CG43815",0,0,0,0,2,0
"14871","lncRNA:CR43817",0,2,0,1,2,5
"14872","lncRNA:CR43818",0,0,0,7,4,3
"14877","lncRNA:CR43823",0,0,0,2,0,0
"14883","CG43829",1,0,0,1,0,0
"14884","lncRNA:CR43830",0,0,0,2,2,0
"14887","asRNA:CR43833",5,2,7,1,4,4
"14889","lncRNA:CR43835",0,0,0,1,0,0
"14891","lncRNA:CR43837",8,9,12,17,23,27
"14892","Ca-α1T",1800,1653,3221,2523,2697,2221
"14893","opm",1673,1474,1624,1551,1089,1822
"14894","lncRNA:CR43838",10,9,13,14,11,9
"14896","lncRNA:CR43840",0,0,0,1,0,0
"14903","lncRNA:CR43847",3,3,4,6,3,2
"14904","lncRNA:CR43848",0,0,1,0,0,0
"14908","lncRNA:CR43852",0,0,0,2,0,0
"14909","lncRNA:CR43853",0,0,1,1,0,0
"14912","lncRNA:CR43856",1,5,0,4,1,5
"14913","lncRNA:CR43857",36,27,34,54,51,61
"14914","lncRNA:CR43858",0,0,0,1,0,1
"14915","lncRNA:CR43859",1,1,2,0,0,3
"14916","ab",1350,1115,1873,1452,1516,1140
"14917","CG43861",167,151,228,277,308,262
"14918","lncRNA:CR43862",0,1,4,0,1,1
"14920","asRNA:CR43864",110,117,146,141,86,103
"14923","CG43867",22075,15457,18461,22771,18687,15435
"14925","lncRNA:CR43870",30,41,45,53,50,169
"14928","asRNA:CR43875",0,1,9,5,3,9
"14929","asRNA:CR43876",1,0,0,1,1,0
"14933","CG43880",1,0,1,3,1,2
"14936","lncRNA:CR43883",23,16,15,45,24,42
"14939","CG43886",1,5,2,2,1,5
"14940","lncRNA:CR43887",48,33,36,58,41,49
"14945","lncRNA:CR43892",0,0,0,0,1,0
"14947","CG43894",1,0,1,0,0,0
"14949","CG43896",0,0,4,4,0,6
"14950","CG43897",498,357,992,727,583,900
"14951","Eip93F",2148,1808,1476,4536,3438,3623
"14952","how",2479,2210,2577,2732,2264,1947
"14953","CkIIα",10066,8234,10409,9196,6887,10502
"14954","rdx",12212,8845,10196,10137,7162,7212
"14955","CG17646",332,253,534,1603,1179,1174
"14956","gpp",9205,8439,10238,10401,8480,7052
"14957","asRNA:CR43898",2,6,7,4,1,0
"14960","CG43901",1871,1695,2438,5108,4903,4135
"14965","asRNA:CR43906",35,39,64,26,33,25
"14966","lncRNA:CR43907",12,7,24,21,20,42
"14971","lncRNA:CR43912",0,3,3,1,4,0
"14972","lncRNA:CR43913",1,0,1,0,0,0
"14974","CG43915",2,1,1,1,3,2
"14975","asRNA:CR43916",1,1,1,0,0,0
"14980","hwt",2434,2139,3504,4424,4958,4105
"14984","CG43925",4,3,11,6,3,12
"14987","lncRNA:CR43928",29,24,26,28,23,25
"14988","lncRNA:CR43929",2,1,2,8,3,2
"14989","lncRNA:CR43930",0,0,1,1,1,1
"14990","CG43931",1,0,1,0,0,0
"14992","asRNA:CR43933",0,1,0,1,0,0
"14994","garz",4407,3547,4446,4626,3794,3333
"14995","Glg1",4567,3914,4707,5150,4443,4053
"14996","Hr4",1580,2246,900,4898,2642,2673
"15001","lncRNA:CR43939",0,1,1,10,2,2
"15005","lncRNA:CR43943",283,245,317,193,192,200
"15008","Glut1",3585,3368,5525,8638,8276,6686
"15009","PsGEF",11815,9823,13268,6218,5258,5255
"15010","asRNA:CR43948",2,0,1,0,3,0
"15012","lncRNA:CR43950",0,1,0,0,0,0
"15014","lncRNA:CR43952",2,0,0,0,0,1
"15015","lncRNA:CR43953",0,2,1,0,0,2
"15017","Fife",1510,1340,2287,2543,2581,2232
"15018","CaMKII",15331,12386,17163,16538,13619,15793
"15020","asRNA:CR43957",222,142,202,147,91,318
"15022","Eogt",1238,1046,1249,1386,1143,1190
"15026","lncRNA:CR43962",0,0,0,0,0,1
"15028","asRNA:CR43964",1,0,1,1,1,1
"15029","Lst8",3384,2806,3209,2482,1944,2285
"15030","ens",9108,8037,10484,10192,8512,8157
"15031","mgr",2892,2601,3375,3316,2598,4100
"15032","Mhc",1157,731,2505,632,333,370
"15036","CG43968",1,7,15,2,4,4
"15037","lncRNA:CR43969",0,0,1,0,0,0
"15043","CR43975",27,27,37,17,13,15
"15044","RhoGEF3",9855,7741,9746,8043,6921,5984
"15045","lncRNA:CR43977",0,1,0,2,0,0
