"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"1845","Rh6",1,3,8,6,6,7
"1846","Cdk9",1797,1443,1684,1769,1232,1644
"1847","Orct",1978,1582,2059,3165,2333,2663
"1848","ND-42",5869,3946,5328,4777,3683,4927
"1849","Mitofilin",5632,4864,6135,4925,4103,4348
"1850","Khc-73",6629,5587,7892,9547,8609,7412
"1851","Drice",3988,3352,3545,4479,2911,3755
"1852","Gs1l",2003,1720,2251,1191,836,1561
"1853","mGluR",969,776,1840,1744,1796,1570
"1854","Gcn2",2691,2114,2596,3252,2664,2307
"1855","Ppox",1174,1030,1265,963,648,985
"1856","Cbl",4518,3895,4641,4851,4246,3778
"1857","ATPsynγ",10878,9264,12391,10195,7668,11515
"1858","ATPCL",17957,14595,19381,17170,13558,13672
"1859","14-3-3ε",84005,67337,77932,93982,73974,82374
"1860","stet",148,101,167,276,293,289
"1861","stck",2207,1875,2677,2627,2157,2789
"1862","sfl",2102,1961,2356,2208,1956,1696
"1863","Ran",45026,32636,38180,31551,23644,33353
"1864","Ppa",2727,2199,2913,2672,2713,2070
"1865","ppk",15,17,19,15,18,13
"1866","pcm",6498,5556,6550,5217,4042,3890
"1867","mspo",1155,1081,1597,3148,3016,2899
"1868","mre11",4337,3925,4748,2668,1944,2631
"1869","mst",1272,1032,1199,904,703,879
"1870","lush",1,1,1,2,8,6
"1871","loco",5163,4507,5203,5265,4121,3632
"1872","lig",40659,35187,39398,42695,32811,32152
"1873","laf",0,0,0,6,0,0
"1874","ko",726,676,816,1468,1279,1040
"1875","stumps",2169,1784,2838,2612,2416,2047
"1876","geko",50,63,34,61,74,75
"1877","drongo",5036,4190,5038,4972,4089,3867
"1878","dbe",2760,2347,2541,2091,1420,2124
"1879","dom",40210,33115,36219,32395,24208,22716
"1880","dve",1397,1197,1787,1773,1596,1353
"1881","crol",36850,31264,34792,30572,23352,21660
"1882","Tmtc3",5538,4540,5486,5247,4230,4285
"1883","Rpt6",608,501,582,739,604,838
"1884","TppII",10859,9226,10702,10907,8922,8519
"1885","Tim17b2",1,1,0,27,1,0
"1886","TM4SF",2037,1748,3699,2845,2760,2961
"1887","Sr-CIII",5,1,4,6,6,7
"1888","Sr-CII",270,237,361,212,121,125
"1889","Sp1",3506,2836,3753,2156,1874,1772
"1890","Rfx",386,368,530,541,551,466
"1891","Dredd",1409,1282,1611,1053,744,881
"1892","pug",1030,1516,1690,1089,1627,1330
"1893","Pdk1",11760,11902,11343,11154,8468,7794
"1894","Gcn5",5282,4239,4876,3745,2650,3012
"1895","Papss",733,668,961,1879,1605,1497
"1896","Nrk",2672,2322,2641,3547,3121,2962
"1897","Nmt",4336,3330,4016,4730,3676,3993
"1898","Mst89B",18,6,20,27,8,14
"1899","asun",1362,1140,1326,1063,858,872
"1900","JIL-1",7214,6443,7164,5844,4646,4160
"1901","Idgf3",1850,1557,2268,3095,2740,2957
"1902","Idgf2",1010,960,1618,1710,1626,2074
"1904","GluRIIB",38,15,32,32,15,27
"1905","Fak",4120,3527,4536,4758,4208,3824
"1906","eRF3",14293,11865,13714,13946,10664,10894
"1907","E23",205,260,320,1155,971,826
"1908","Dad",939,758,1431,1391,1498,1203
"1909","CtBP",33462,30469,34159,25282,18330,21103
"1910","emb",22614,18843,20948,19423,13758,14548
"1911","CLIP-190",5548,4605,5827,4790,3600,3954
"1912","Amyrel",4,10,85,5,4,30
"1913","Ag5r2",14,15,541,7,28,48
"1915","Abi",3955,3486,3966,4303,3368,3322
"1916","Paics",3958,3565,4039,4226,4013,4333
"1918","pio",1183,939,898,1215,1610,775
"1919","kraken",1796,1405,1938,1521,1130,2038
"1921","lncRNA:bxd",240,179,260,190,124,231
"1922","SA",6219,5171,6196,4957,3776,3757
"1923","Rx",23,179,144,23,54,49
"1924","Rack1",157148,126057,159373,122376,87009,140616
"1925","RN-tre",3882,3365,3884,3619,2811,2800
"1926","Pkn",6926,5774,6884,5896,4710,4471
"1927","Pi3K21B",2207,1770,2296,2510,2096,1885
"1928","Osbp",2293,1782,2444,2837,2381,2354
"1929","Mcm7",3553,2857,3132,2391,1543,2233
"1930","Lcp65Ag2",0,2,6,1,1,0
"1931","Lcp65Ag1",0,2,10,1,3,0
"1932","Lcp65Af",6,7,5,4,5,6
"1933","Lcp65Ae",2,2,8,3,1,2
"1934","Lcp65Ad",6,4,3,5,0,4
"1935","Lcp65Ac",0,2,15,2,13,66
"1937","Lcp65Ab1",0,0,1,0,0,0
"1938","Lcp65Aa",0,0,1,0,1,0
"1940","KrT95D",3513,3248,3891,5635,4370,4210
"1941","Trxr-1",10773,8110,10479,9070,8348,8176
"1942","ArfGAP1",3394,2915,3238,2931,2259,2337
"1944","Atet",4485,3284,4528,3241,2645,2532
"1945","Alas",1576,1355,1812,1561,1410,1437
"1946","Acp65Aa",0,0,0,2,1,0
"1947","Spred",6347,5494,7622,7268,6403,6540
"1948","CG7179",0,0,0,5,1,16
"1949","Su(z)12",5776,5169,5648,3879,3001,2892
"1950","Jon25Bi",14,15,259,3,66,14
"1951","Scp2",346,278,557,1038,899,1061
"1952","Scp1",272,294,379,391,381,392
"1953","Rtc1",3104,2806,3108,2121,1435,2587
"1954","RpL3",186648,158365,186297,133850,102590,116878
"1955","Ptx1",1116,997,1521,1631,1465,1286
"1956","Dgkε",1333,1215,1556,1601,1022,1757
"1957","Crg-1",2,1,2,5,6,6
"1958","C901",8,3,5,10,10,8
"1960","chb",9487,9045,10886,8186,6235,6023
"1961","Nup154",12831,10289,12051,9333,6838,6877
"1962","sdk",8809,7970,9111,6348,4759,4502
"1963","scu",4063,3763,5089,4459,3331,6576
"1964","org-1",7,7,13,21,28,15
"1965","nudC",3018,2273,2343,2618,1930,2967
"1967","Tapδ",6656,5829,7076,6427,4643,9241
"1968","Tor",5530,4353,5185,6084,5064,4292
"1969","Reph",1873,1672,2529,4237,4347,3668
"1970","Vps28",1444,1343,1499,1460,1069,1837
"1971","DCTN2-p50",4421,3690,4515,4283,3232,4518
"1972","Ttc7",2089,1761,2216,2058,1697,1904
"1973","l(2)k14505",2145,1953,2578,2083,1366,2859
"1974","Xbp1",12434,10214,12708,14555,12426,15741
"1975","Nle",3068,2702,2896,1872,1342,2058
"1976","Zfrp8",1514,1298,1579,1031,721,911
"1977","ytr",29104,23075,30810,13334,9925,11661
"1978","RFeSP",5199,4254,5823,4395,3402,5119
"1979","Coprox",1460,1272,1381,1235,980,1207
"1980","ND-PDSW",2824,2572,3013,2610,1730,3962
"1981","l(2)k09913",7686,6338,8154,11948,9561,10488
"1982","Rs1",6073,5288,5738,4183,2970,3398
"1983","eIF3h",27557,22886,28244,17878,13878,19269
"1984","Vps25",1075,1094,1364,1020,699,2165
"1985","l(2)k01209",4332,3945,4278,3617,2704,3013
"1986","Nnp-1",7663,6681,7428,5421,4016,4530
"1987","Vha36-1",2991,2575,3926,3928,3175,5401
"1988","l(2)k05819",5300,4532,5277,4627,3677,3584
"1989","Gpo1",858,606,1179,1287,1146,1178
"1991","ubl",979,929,1115,922,561,2170
"1992","lolal",10501,9273,11537,9527,6939,10091
"1993","l(2)09851",5389,4532,5190,4054,2689,3786
"1994","dnk",3646,3448,4315,2611,1852,2827
"1995","CG3760",6593,6242,7500,5853,4210,7233
"1996","CG10340",1934,1567,2079,1970,1395,2478
"1997","CG1910",20492,19270,22267,14336,10004,11443
"1998","Tsf1",6385,5264,8928,6869,6614,8541
"1999","Sodh-2",189,162,304,84,77,143
"2000","Pur-α",2651,2297,3243,3014,2442,3152
"2001","Pka-R2",1497,1369,2283,3754,3326,3370
"2002","D19B",2354,2004,2451,2195,1815,1860
"2003","Cht4",3,3,165,1,4,3
"2004","Cht2",1496,1265,1874,2141,1592,2349
"2005","Ak1",1118,939,1467,1629,1307,2432
"2006","Ac13E",427,466,625,2254,1877,1560
"2007","Taf8",1780,1643,2116,1289,928,1126
"2008","HLH54F",0,0,0,1,3,0
"2009","Sin3A",23247,21477,24666,20283,15825,14646
"2010","Pp2C1",5034,4392,5091,3680,2916,2747
"2011","Peritrophin-A",51,47,83,65,51,78
"2012","Oat",1442,1154,1623,3368,2637,3688
"2013","Hira",2695,2204,2674,2129,1647,1793
"2014","Hel89B",9498,8391,9998,8986,7519,6663
"2015","Cad96Ca",656,465,518,396,295,320
"2016","Df31",122658,110212,129365,91209,60678,107831
"2017","D19A",2098,1964,2323,2048,1814,1692
"2018","CycH",2181,1823,2389,1674,1186,1899
"2019","Cbp80",10203,8157,9438,9089,6839,7020
"2020","Cbp20",1920,1682,1969,1502,958,2130
"2021","yps",57706,49341,59846,38711,28837,32956
"2022","vimar",6494,5491,6571,5614,4755,4524
"2023","rpk",134,142,165,124,57,107
"2024","qkr58E-3",2803,2402,3060,2902,2171,2744
"2025","qkr58E-2",5717,5109,6223,4613,3596,3758
"2026","qkr58E-1",3305,3253,3626,2973,2365,2698
"2027","qkr54B",7196,6008,6884,6431,5092,5030
"2029","melt",337,294,387,183,258,126
"2030","CRMP",2070,1857,3068,7076,6346,6767
"2031","Clk",28,24,29,40,27,12
"2032","gek",5495,4535,5512,6401,5296,4982
"2034","dtr",14,20,25,26,18,26
"2035","dimm",74,71,99,124,91,94
"2036","cyc",1017,1038,1091,1385,1201,1276
"2037","caps",1598,1576,2227,2972,2719,2595
"2038","btv",23,20,18,37,35,30
"2039","bon",8665,7201,8535,6936,5541,5335
"2041","a6",1579,1587,1860,1308,977,1003
"2042","Uba1",36072,31392,36608,36535,29321,28785
"2044","AMPKα",4407,3891,5835,4239,3768,3922
"2045","RpL39",41383,37511,45760,37985,23220,93832
"2046","rnh1",1766,1430,1802,1326,938,1382
"2047","RhoGEF2",5977,5192,5843,5713,4289,3739
"2048","Prosβ2",6755,5589,6145,7275,5730,7435
"2049","Prosα7",8424,7593,9145,8008,5528,12448
"2050","Pp4-19C",7412,6352,7073,6844,5173,6463
"2051","Pdf",2274,1713,3426,3693,2615,8127
"2052","amon",2514,2131,3992,7550,6619,5679
"2053","Orc6",1189,956,1100,697,421,778
"2054","Orc4",3605,3188,3572,2607,1691,2364
"2055","Jon74E",7,9,16,4,7,5
"2056","EloB",4265,3653,4340,4030,2994,4627
"2057","eIF4G1",29042,24322,30099,30330,24579,23338
"2058","edl",3050,2394,2602,2095,1381,2093
"2059","Mnt",2926,2492,2728,3420,2812,2442
"2060","Parg",1365,1105,1489,985,752,890
"2061","Dap160",4302,3686,5358,6210,5443,4758
"2062","Chd3",2830,2308,2648,1772,1216,1322
"2063","B4",5444,4447,5304,6734,5872,5050
"2065","Ac3",3116,2364,4055,4444,3863,3685
"2066","fus",462,477,588,510,729,396
"2067","Rbcn-3A",9058,7639,9952,9480,8006,7363
"2068","Taldo",4970,3933,5580,4071,2875,5195
"2069","teq",787,1314,1446,1564,1970,1411
"2070","Pph13",14,16,7,25,15,15
"2071","Lip3",11,5,15,2,18,1
"2072","Lip1",2,2,2,1,1,1
"2073","Es2",774,739,867,673,516,658
"2074","D2hgdh",322,274,776,187,218,171
"2075","Ocrl",3545,3250,3872,3039,2455,2368
"2076","mip130",3692,3359,3837,2760,2183,2066
"2078","Edem1",2760,2269,2743,2734,1963,2172
"2079","eIF2Bε",4599,3946,4572,2844,2176,2447
"2080","CG14803",2249,1947,2359,1389,1121,1107
"2081","CG14805",3195,2917,3084,2844,1973,3085
"2082","Gcna",4877,4113,4793,3457,2582,2739
"2083","Pex5",1422,1180,1553,1093,828,1153
"2084","Pgam5",3325,2596,3131,2286,1602,2719
"2085","trr",5724,5068,5631,4467,3539,3343
"2086","mRpL16",2371,1988,2289,1795,1270,2554
"2087","CG3857",728,702,745,642,488,573
"2088","CG3587",630,547,641,679,519,715
"2089","CG11596",3175,2853,3222,2502,1994,2534
"2090","Or2a",37,45,47,46,37,39
"2091","CG3078",1089,988,1430,3157,2793,2774
"2092","CG3191",91,73,88,147,89,150
"2093","CG2865",1624,1431,1788,3911,3746,2790
"2094","CG3071",3004,2657,2993,2497,1816,2428
"2095","CG2924",4200,3592,4444,5856,4930,4530
"2096","CG2918",11599,9710,10917,13125,10837,10491
"2097","CG3740",410,352,452,324,211,608
"2098","CG32809",5922,5393,6948,6227,5675,5001
"2099","CG17778",86,106,179,144,153,248
"2100","arg",77,137,145,64,80,120
"2101","CG3156",454,408,503,495,387,412
"2102","CG17896",2896,2185,4017,2748,2367,2665
"2103","CG3630",1041,999,1167,682,490,570
"2104","Cyp4d14",0,0,1,0,1,1
"2105","Nmd3",4070,3488,3931,2786,2166,2601
"2106","PIG-K",1769,1501,1992,1628,1329,1840
"2107","Mct1",210,351,332,821,1173,752
"2109","Ac78C",1537,1466,2074,1989,1818,1682
"2111","wit",792,663,1045,1607,1584,1397
"2114","unc-4",261,229,323,560,608,474
"2115","syd",2736,2091,2729,4747,3934,3723
"2116","san",2267,2224,2655,2104,1597,2842
"2117","sns",1568,1377,2073,2735,2785,2180
"2118","sip1",1726,1426,1545,1430,1061,1097
"2119","rasp",1464,1351,1634,1242,804,1388
"2120","robl",2370,2046,2754,2849,1670,7625
"2121","IKKβ",1107,943,1175,873,619,799
"2122","aurB",3286,2641,3014,1978,1349,2008
"2124","gprs",1780,1714,3358,2141,2573,1876
"2125","gbb",3870,3320,3743,3138,2163,2859
"2126","foi",6097,4683,5474,5255,4475,4178
"2128","drm",253,239,266,377,383,253
"2129","dnt",1471,1335,1672,1758,1292,1426
"2130","chico",298,255,296,194,182,167
"2131","cato",2,0,0,3,1,1
"2134","WASp",1662,1498,1860,2080,1849,1663
"2135","trio",10167,8509,10929,12665,10850,9488
"2136","Srp54",9954,9057,10860,7498,5560,6448
"2137","Sox100B",12,18,14,13,15,15
"2138","Sodh-1",85,265,503,104,240,108
"2139","Sirt1",5286,4322,5383,4425,3583,3587
"2141","Spn43Aa",572,708,92,3327,2350,2430
"2142","Plap",6990,5728,6794,6633,4992,5919
"2143","Picot",8417,5975,9077,3045,2132,2484
"2144","Nach",6,1,6,4,1,1
"2145","Npc1a",5681,5384,6609,6693,5637,5389
"2146","NK7.1",1193,1174,1556,1017,965,867
"2147","Mkk4",5227,4489,5444,5280,4074,4064
"2148","Mekk1",3343,3199,3908,4726,3957,3476
"2149","MED6",1989,1686,1947,1666,1337,1514
"2150","Stip1",14722,12666,12705,15213,12316,15087
"2151","MTPAP",1981,1645,2012,1382,923,1286
"2153","Naa30A",3201,2867,3254,2953,2355,2578
"2154","CG11417",5021,4503,5102,2912,2226,2403
"2155","CG12773",2887,2806,3289,3463,2896,2850
"2156","CG11409",87,84,82,118,97,72
"2157","E2f2",2244,2102,2307,1748,1250,1772
"2158","Dlc90F",5096,4399,5254,4897,3347,7805
"2159","Bin1",2409,2148,2464,2064,1293,3176
"2160","Sec13",5924,4366,5327,4575,3469,4929
"2162","Neos",1677,1539,1723,1735,1234,1953
"2163","flfl",15402,14214,16085,13226,10944,10060
"2165","Dph5",6586,5844,6879,4464,2991,5728
"2166","fws",2489,1903,2484,2325,1757,1992
"2167","Cpsf160",4636,3924,4556,3680,2788,2719
"2168","Slip1",5445,4389,6045,5218,4076,4253
"2169","Drep1",1319,1092,1278,2615,2048,2070
"2170","RpL10",108990,95517,119638,94172,63454,149027
"2171","PRL-1",1234,1055,1282,1270,949,1123
"2172","Lip2",8,13,12,10,24,23
"2173","Flo1",6808,5476,7169,6882,5548,6362
"2174","Dbp80",8509,7495,9063,6568,4996,8987
"2175","DIP2",8957,7579,9355,12289,10855,9762
"2176","DIP1",9468,8628,11853,11606,10410,9802
"2177","Crk",3139,2664,3740,3256,2457,5740
"2179","AP-1μ",2197,2064,2562,2754,2276,2865
"2180","stan",14002,11271,11689,14286,10900,10068
"2181","Pcd",782,769,1133,1077,972,1953
"2182","p38b",2329,1923,2392,1758,1350,1922
"2183","kin17",1567,1236,1425,1311,944,1162
"2184","Kap-α1",3854,3422,4227,4050,3171,3524
"2186","Taf7",1369,1201,1367,1062,824,896
"2187","agt",502,446,469,307,160,341
"2188","Actβ",2155,1659,2628,3387,3256,3194
"2189","Ts",4099,3544,4511,2283,1533,2751
"2190","Tnpo",8570,7337,8173,9801,8042,6864
"2191","RSG7",726,623,1161,1422,1341,1250
"2193","Oamb",527,551,927,1862,1609,1365
"2195","NTPase",1431,1220,1545,1905,1525,1678
"2196","Mat1",2229,1913,2208,1387,1019,1262
"2197","Irp-1B",1691,1412,2155,3722,3405,3652
"2198","Irp-1A",5092,4441,5281,4277,3165,4203
"2199","GluClα",2032,1910,3711,3322,3720,2956
"2200","CG2701",2361,2136,2773,2152,1752,2002
"2201","CG2712",864,819,876,594,506,574
"2202","Syx4",22,27,32,24,13,43
"2203","CG4293",1679,1451,1734,1541,1289,1488
"2204","CG3457",19,17,17,15,16,12
"2205","Rilpl",3708,3271,4491,4177,3660,3310
"2206","CG3719",1312,1092,1562,1107,848,2339
"2207","ssx",8649,7715,9200,7044,5893,5245
"2208","CG3777",24,30,45,45,52,55
"2209","CG2694",4430,3622,4383,2773,1735,2165
"2210","Spg7",3417,2818,3305,2746,2107,2226
"2211","CG2662",1122,1081,1201,837,601,789
"2212","Ugalt",1493,1219,1483,1238,880,1116
"2213","CG2680",403,333,796,307,301,341
"2214","eIF2Bβ",2957,2577,3135,2449,1694,2608
"2215","CG2681",32,21,40,41,45,42
"2216","CG2685",2073,1967,2247,1546,1263,1388
"2217","Bem46",377,352,511,524,449,518
"2218","Ant2",740,732,753,514,447,553
"2219","Acyp",1,0,0,4,0,0
"2221","az2",2065,1894,2232,1229,1049,1177
"2222","ari-2",1834,1595,1741,2894,2522,2360
"2223","PHDP",41,22,40,100,85,163
"2224","Cpes",917,861,1021,1152,928,1153
"2225","CG4882",3048,2408,3020,2489,1855,2403
"2226","Mtpβ",5454,4303,5509,6551,5077,6207
"2228","Optix",29,270,278,22,114,62
"2230","Fpps",2090,1503,1998,2309,1987,2173
"2231","CG3795",0,1,1,5,0,2
"2233","Rab27",537,486,746,426,305,507
"2234","CG14780",7,8,5,8,7,10
"2235","Alms1b",119,123,124,113,59,72
"2236","Alms1a",3206,2899,3223,2163,1525,1456
"2237","Mur2B",843,865,1055,745,620,508
"2238","Scgδ",359,347,673,938,806,787
"2240","inc",8958,8459,9449,8801,6708,7463
"2241","Cyp6g1",210,322,401,408,735,570
"2242","CycT",11355,9951,11251,9170,7077,6313
"2243","CREG",253,247,212,1127,938,1494
"2244","Bub3",8948,7475,8414,6376,4539,7166
"2245","Bap60",12631,10639,12243,9421,7471,8699
"2246","slv",1443,1196,1463,1091,712,1334
"2247","fidipidine",1959,1836,2276,1834,1513,1788
"2248","bab2",1277,1132,1400,3102,3211,2423
"2250","CG4101",66,67,86,105,61,106
"2251","SF1",9509,8930,10451,8632,6589,7808
"2253","Pli",2694,2497,2734,5207,3850,4317
"2254","Lcp9",26,26,75,9,53,166
"2255","eIF3e",27377,20974,23524,18866,13532,21224
"2256","BomS2",0,1,1,42,1,4
"2257","Gk1",1772,1655,2142,1789,1295,1627
"2258","AkhR",59,65,75,74,142,105
"2259","Faf2",3282,2620,3062,3064,2432,2998
"2260","CG3062",1,0,0,2,0,1
"2261","CG3081",19,12,16,32,24,15
"2262","Torsin",3035,2788,3436,2728,1968,4408
"2263","CG13359",35,32,45,32,12,9
"2264","CG13360",142,448,630,179,730,645
"2265","CG16989",4573,3930,5155,2595,1990,2274
"2266","CG4025",907,764,837,853,780,814
"2267","Sik2",2057,1726,2601,4685,4582,3943
"2268","CG4281",4879,4366,5054,3794,2953,3343
"2270","CG4199",1966,1690,2324,2595,2209,2416
"2271","CG4045",2547,2156,2523,1847,1248,1557
"2272","Rtca",1827,1648,2124,1345,991,1341
"2274","CG4313",521,456,629,504,463,445
"2275","spdi",15360,12177,13553,11923,9007,8286
"2276","CG13367",2306,2130,2430,1660,1368,1609
"2277","Hinfp",1586,1374,1667,1400,1073,1079
"2278","SkpA",7016,5896,7358,7839,5932,10998
"2279","Roc1a",6632,5050,6168,6674,4832,7252
"2280","Hmt4-20",10242,9187,10696,10498,9752,8079
"2281","CG13369",1981,1707,2354,1499,1157,2215
"2282","DAAM",7180,5678,7008,6843,5555,5203
"2283","CG32812",19,17,32,17,18,19
"2287","CycK",4908,4133,4912,3767,2841,3492
"2288","CkIIα-i3",2480,1926,2622,1826,1372,2485
"2289","CaBP1",7815,6231,7135,9335,7477,7960
"2290","Klf15",0,1,1,3,2,0
"2291","cry",44,21,53,53,36,42
"2292","CG3558",3665,2986,3834,3351,2698,2448
"2293","scf",3793,3322,4204,8762,6733,8562
"2294","MFS18",1524,1399,1535,1428,1103,1306
"2297","ZnT41F",633,553,669,2011,1423,1743
"2298","santa-maria",606,568,799,1915,1293,1504
"2299","CG5885",5780,5120,5959,5748,4289,7371
"2300","Srpk79D",1657,1500,2156,3498,3339,2807
"2301","CNT2",42,42,62,51,56,65
"2302","CG13920",3376,2948,3125,3689,2416,4541
"2303","Bap55",8046,6433,7166,6298,4576,5857
"2304","Ate1",2947,2331,2885,2453,2035,2103
"2305","β'COP",7316,6027,7122,7596,6291,6471
"2306","αCOP",8888,7188,8608,9750,8262,7347
"2307","unc-13",22789,18511,26961,25219,24109,20668
"2308","pon",10337,9027,10116,5964,3950,4843
"2309","PlexB",3873,3349,4438,3518,2805,2542
"2310","PlexA",16955,13335,16504,19462,15905,14221
"2311","mtm",3771,3195,3757,4258,3101,4609
"2312","mbt",4632,4272,5035,3247,2427,2643
"2314","homer",3061,2666,3100,3719,2953,3264
"2315","Cdc16",3051,2629,3132,2729,1963,2173
"2316","TBPH",4504,4121,4921,4423,3636,3880
"2317","Smox",9975,8376,10903,10260,9060,8255
"2318","Sbf",3660,2828,3501,4083,3399,2917
"2319","Rad9",955,848,981,639,437,616
"2320","Rad17",1013,845,1004,751,543,808
"2321","Paf-AHα",2556,2290,2691,3065,2409,3076
"2322","Mgstl",168,130,165,276,231,257
"2323","Mcm6",13510,11850,12958,8701,5979,6836
"2324","JTBR",573,515,703,590,382,1020
"2325","I-t",0,0,1,16,0,0
"2327","CG6421",0,0,0,0,1,1
"2328","IntS8",2163,1864,2266,1960,1506,1401
"2329","Fen1",3101,2668,2983,1899,1271,1895
"2330","CG8910",593,516,1079,913,950,865
"2332","RhoGAP1A",9935,8370,10399,9766,8092,7749
"2333","CG17636",1,4,48,10,5,2
"2334","CG2652",3,4,4,16,4,6
"2335","ND-B14.5A",940,855,1387,933,635,2519
"2336","Crag",7503,6523,8042,6752,5649,5122
"2337","Cortactin",3470,3190,3622,6037,4908,4705
"2338","CalpB",1086,901,1494,1167,1223,1022
"2339","Meics",1019,822,1144,855,671,638
"2340","wrapper",4317,3411,4696,5964,4394,5536
"2344","Inos",4094,2932,5049,6258,6475,6235
"2345","Eph",9008,7531,9855,9753,7820,7884
"2346","Top3β",4868,3812,4192,3601,2860,3025
"2347","Rlip",2463,2033,2630,2117,1609,1720
"2348","OdsH",88,76,102,140,100,100
"2349","Mhcl",4701,4505,5218,6711,5560,4945
"2350","Mipp2",40,40,64,77,72,74
"2351","Mipp1",43,54,84,54,64,49
"2354","UBL3",2047,1781,2433,2300,1988,1967
"2355","Gasp",533,450,613,671,619,629
"2356","Nsun2",4094,3702,3893,3077,2347,2681
"2357","Tip60",1719,1495,1761,1382,1138,1101
"2358","tyf",13603,12104,13269,12018,9387,8813
"2359","cib",16773,14359,16131,40294,34521,36433
"2360","dgt4",1002,1011,1081,643,379,1117
"2362","CG14818",1016,984,1440,1172,730,3438
"2363","CG14817",981,762,937,829,606,1624
"2364","Lamtor5",1213,1203,1540,1240,833,2337
"2366","Cdlc2",1,1,2,21,2,0
"2369","TTLL4A",5634,4561,5218,4208,3339,3173
"2370","CG12253",714,652,881,774,664,1074
"2371","BCL7-like",3062,2568,2910,2547,1895,2214
"2373","tna",7767,7645,9054,10344,9067,7822
"2378","SkpD",3,0,3,3,0,3
"2379","SkpC",1,2,8,8,2,1
"2380","SkpB",26,22,29,125,77,117
"2381","siz",11268,10488,12799,9461,7722,7058
"2382","Rok",8800,7438,8213,6830,4989,4830
"2383","promL",10794,9505,11802,20931,18044,16628
"2384","PH4αMP",6,1,13,19,22,16
"2385","par-6",3849,3364,4133,3316,2563,2692
"2388","myo",4966,4129,5508,7807,5516,9016
"2389","mei-P26",8271,6456,8265,7719,6746,5882
"2390","mbo",3964,3321,3865,3063,2402,2530
"2391","gus",6384,5184,6924,5616,4051,6816
"2392","gukh",13283,11598,14951,11090,8488,8351
"2393","eIF1A",14257,12269,13851,15034,11029,15989
"2394","msk",29817,22969,26395,22281,17008,16143
"2395","clumsy",2,0,3,3,0,2
"2396","cav",1566,1363,1563,1025,750,1224
"2397","eIF5B",11369,9607,10954,8692,6936,6588
"2398","bonsai",2199,1831,2497,1765,1198,1667
"2399","Taf3",7929,6717,9301,8285,7112,6573
"2400","bip1",2070,1599,1651,2062,1427,1934
"2401","Antdh",3,8,5,5,4,2
"2402","aft",2313,1998,2332,1889,1393,1563
"2403","X11L",5285,4116,5148,7235,6289,5577
"2404","Ugt35B1",0,0,69,0,1,0
"2405","Ugt35A1",124,108,295,87,56,77
"2406","Ubc10",1767,1638,2188,2443,1907,3557
"2407","Tsc1",3040,2705,3287,2786,2244,2291
"2408","Traf4",2545,1321,1271,1923,1632,1302
"2409","Tom",315,311,277,314,388,302
"2410","Tak1",3712,3170,3872,3673,3041,3018
"2411","Taf10b",1598,1471,1694,1466,1071,2166
"2412","Mad1",3290,2841,3366,3043,2386,2406
"2413","Septin5",1703,1407,1749,1224,876,1296
"2414","Sara",2157,1712,2278,2896,2499,2230
"2415","SAK",4018,3676,4505,2695,1826,2302
"2416","RpL23A",104561,82603,108577,76133,58238,79405
"2417","Polr2C",3175,2846,3163,2080,1511,2566
"2418","Rhp",342,373,482,522,534,411
"2419","RhoGAPp190",12009,10664,12652,14116,12015,10670
"2420","Rgl",963,862,1284,1755,1779,1309
"2421","Rep",1145,890,1241,1434,1134,1400
"2422","Pten",2854,2388,3104,2818,2144,2324
"2423","Prosβ3",6418,5276,6182,7048,5152,8547
"2425","Or47b",3,0,0,2,0,2
"2428","Or43a",2,1,0,5,1,3
"2429","Or33c",0,0,0,0,1,0
"2431","Or33a",0,0,0,0,0,3
"2432","Or43b",365,286,356,302,305,271
"2433","Or24a",0,0,0,1,0,3
"2434","Or23a",1,1,1,1,1,1
"2435","Or22c",22,12,12,10,10,9
"2436","Or22b",9,13,10,11,3,10
"2437","Or22a",15,12,12,12,8,24
"2438","Or85e",0,0,0,0,1,0
"2439","Noa36",2489,2207,2532,1866,1347,2702
"2440","Nipped-B",16439,13177,16088,14224,10704,10836
"2441","NiPp1",1612,1507,1703,1213,910,1281
"2442","Ndg",90,91,120,147,121,95
"2443","Dronc",1782,1664,1590,2637,1791,2477
"2444","Mpcp2",29405,23130,32576,22238,17018,21219
"2445","Lim1",677,618,962,1483,1611,1356
"2446","Idgf4",15204,10699,16643,21921,19031,22024
"2448","Hsc70Cb",26355,21489,22503,25692,21291,21108
"2449","Su(var)2-HP2",13943,11458,13391,11670,8707,7765
"2450","HDAC6",2190,2172,2582,2015,1970,1867
"2451","Grip84",3460,2871,3587,3049,2389,2380
"2452","Grip75",1792,1338,1772,1344,1023,1171
"2453","Grip163",2189,1915,2240,2046,1551,1439
"2454","Grip128",2109,1855,2418,1510,1200,1253
"2455","Eaat2",1967,1683,2900,4561,5035,4083
"2456","Eaat1",11664,8460,13132,8517,6472,7983
"2457","ear",4029,3548,3774,3617,3005,2759
"2458","Drp1",9243,7472,9086,8066,6285,6457
"2459","Dek",21685,18483,20849,15346,11510,12582
"2460","SPARC",2530,2344,3193,4027,3523,4436
"2461","CG1979",16,28,59,69,19,25
"2462","Ass",0,1,1,0,0,3
"2463","CG1307",2366,2130,2505,2036,1451,2768
